variant,seed,macro_auc,macro_f1_optimal,macro_f1_fixed,auc_ecg_only,auc_fused_only,auc_meta_disabled,delta_meta_auc,w_fused,auc_NORM,f1_NORM,threshold_NORM,auc_MI,f1_MI,threshold_MI,auc_STTC,f1_STTC,threshold_STTC,auc_CD,f1_CD,threshold_CD,auc_HYP,f1_HYP,threshold_HYP
demo,2040,0.926160657094256,0.7481455468330472,0.7351288816520757,0.9257382175711137,0.926160657094256,0.9260435267522894,0.000117130341966587,1.0,0.9479174812180222,0.8626506024096385,0.4399999976158142,0.9264000441306266,0.7457912457912458,0.5899999737739563,0.936438228854423,0.765639589169001,0.6949999928474426,0.9131548273378567,0.7526427061310782,0.7549999952316284,0.9068927039303514,0.6140035906642729,0.6949999928474426
demo,2041,0.9272645912382507,0.745551186675006,0.7382559581047226,0.9271812801161777,0.9272645912382507,0.9271335848977957,0.0001310063404549311,1.0,0.9481478678724129,0.856019656019656,0.6650000214576721,0.9252824360105913,0.7320954907161804,0.6650000214576721,0.9352702305208666,0.7699443413729128,0.6800000071525574,0.9154244532049582,0.7497314715359829,0.6650000214576721,0.9121979685824239,0.6199649737302977,0.6050000190734863
demo,2042,0.9282751998331552,0.7491450857692243,0.7383064025334928,0.9280582017181949,0.9282751998331552,0.9280219607594656,0.00025323907368957066,1.0,0.9495570942693421,0.8648648648648649,0.800000011920929,0.9255753530450131,0.7361963190184049,0.5600000023841858,0.9345875151794003,0.773602199816682,0.6499999761581421,0.9170686289374929,0.746268656716418,0.6650000214576721,0.9145874077345277,0.6247933884297521,0.574999988079071
demo,2043,0.9293013330760443,0.7451498622824845,0.7368098803846463,0.9292684632096948,0.9293013330760443,0.9291304275744215,0.00017090550162279783,1.0,0.9498454980009334,0.8629795714997509,0.6800000071525574,0.9303971756398941,0.7347310847766636,0.6349999904632568,0.9386609165210245,0.7624890446976337,0.6050000190734863,0.9156850574276941,0.7542288557213931,0.6349999904632568,0.9119180177906757,0.6113207547169811,0.7250000238418579
demo+anthro,2024,0.929901928301345,0.7512615364500207,0.7394623330177625,0.9287251496877655,0.929901928301345,0.9283991301318922,0.001502798169452757,1.0,0.9512732225963904,0.8649706457925636,0.6200000047683716,0.9327736098852604,0.7484769364664926,0.574999988079071,0.9371260946050036,0.7660311958405546,0.5299999713897705,0.9155808157385998,0.7532994923857868,0.6650000214576721,0.9127558986814713,0.6235294117647059,0.7400000095367432
demo+anthro,2025,0.9288322856805553,0.744484420392314,0.7390531473228945,0.9272497559271372,0.9288322856805553,0.9274751420346024,0.0013571436459529629,1.0,0.9500876562362053,0.8642714570858283,0.7400000095367432,0.9336352603706973,0.7403414195867026,0.574999988079071,0.9373149429391897,0.7652790079716564,0.5600000023841858,0.9182674083620787,0.7479674796747967,0.6949999928474426,0.904856160494606,0.6045627376425855,0.7250000238418579
demo+anthro,2026,0.9304675760853833,0.7468595338140773,0.7370293185110679,0.9286134571677593,0.9304675760853833,0.9291018195118348,0.0013657565735485377,1.0,0.9506791781754892,0.8667992047713717,0.6949999928474426,0.9325364077669902,0.7425474254742548,0.574999988079071,0.93883259682483,0.7802197802197802,0.6499999761581421,0.9164396251089798,0.7370517928286853,0.6800000071525574,0.9138500725506277,0.6076794657762938,0.6200000047683716
demo+anthro,2027,0.928255523330136,0.7418603250391428,0.7363444641242539,0.9264198846855821,0.928255523330136,0.9265048527920815,0.001750670538054444,1.0,0.9483000575966636,0.8607594936708861,0.6050000190734863,0.9294759488084731,0.7377358490566037,0.7099999785423279,0.9344410146534862,0.7676950998185118,0.6200000047683716,0.9194531575755278,0.7424400417101147,0.7250000238418579,0.9096074380165289,0.6006711409395973,0.6349999904632568
demo+anthro,2028,0.9300183375096115,0.7512389397041619,0.7404010282414534,0.9278574511318318,0.9300183375096115,0.9287162591914349,0.001302078318176636,1.0,0.9521493645448391,0.8661338661338661,0.6650000214576721,0.9330494263018534,0.7463952502120441,0.5299999713897705,0.9368834531089587,0.771960958296362,0.574999988079071,0.9164147492513551,0.7494824016563147,0.6949999928474426,0.9115946943410512,0.6222222222222222,0.6650000214576721
demo+anthro,2029,0.9287753534467977,0.7461995306245355,0.739875039987058,0.9279856969778297,0.9287753534467977,0.9282764259790486,0.0004989274677491551,1.0,0.9505526336810154,0.8666994589276931,0.5899999737739563,0.9298036187113856,0.7396021699819169,0.6650000214576721,0.9357629529927882,0.7673397717295873,0.6349999904632568,0.918420217201774,0.7478991596638656,0.7099999785423279,0.9093373446470254,0.6094570928196147,0.6050000190734863
